	test_sets	M0.2_acc	M0.2_f1	M1.2_acc	M1.2_f1	M1.2.1_acc	M1.2.1_f1	M1.2.4_acc	M1.2.4_f1	M1.2.9_acc	M1.2.9_f1	M1.2.19_acc	M1.2.19_f1	M2.2_acc	M2.2_f1	M2.2.1_acc	M2.2.1_f1	M2.2.4_acc	M2.2.4_f1	M2.2.9_acc	M2.2.9_f1	M2.2.19_acc	M2.2.19_f1	M3.2_acc	M3.2_f1	M3.2.1_acc	M3.2.1_f1	M3.2.4_acc	M3.2.4_f1	M3.2.9_acc	M3.2.9_f1	M3.2.19_acc	M3.2.19_f1
0	Hateval	58.8	58.3	59.6	59.2	59.4	58.8	59.3	59.0	59.0	58.5	58.6	58.4	59.5	59.0	60.0	59.7	59.4	59.2	58.9	58.5	58.5	58.0	58.8	58.3	58.6	58.1	59.2	58.9	59.0	58.7	58.8	58.4
1	Davidson	91.9	64.6	92.3	62.7	92.1	63.0	92.5	64.1	92.1	62.6	92.0	60.9	92.3	62.3	92.0	63.0	92.3	62.6	92.3	62.9	91.8	63.1	91.9	62.9	91.7	62.3	92.0	62.5	92.4	63.7	92.4	63.4
2	Founta	94.2	64.2	94.4	64.3	94.4	64.5	94.5	64.5	94.4	63.8	94.3	63.6	94.5	64.0	94.4	63.4	94.5	63.8	94.4	64.0	94.2	64.4	94.4	64.3	94.3	64.5	94.4	63.8	94.4	64.0	94.4	64.1
3	Vidgen_v0.2.3	58.5	57.3	58.0	56.6	57.7	56.2	57.8	56.4	57.3	55.8	56.4	54.6	57.6	55.9	57.5	55.9	57.4	55.7	57.8	56.3	58.8	57.7	57.5	56.0	57.5	56.0	57.2	55.6	58.3	57.1	58.2	56.9
4	Waseem	88.0	84.8	87.6	84.2	87.8	84.4	87.4	83.7	87.7	84.2	87.2	83.4	87.5	84.2	87.4	83.8	87.9	84.5	87.7	84.1	87.7	84.3	87.6	84.2	87.8	84.6	87.3	83.7	87.7	84.4	87.7	84.3
5	Hatecheck	61.0	60.1	59.3	58.5	59.9	59.3	59.8	58.9	58.8	58.3	58.0	57.5	59.2	58.3	58.9	58.4	59.8	59.3	60.9	60.1	61.3	60.2	58.7	58.2	58.7	58.1	58.9	58.3	59.0	58.4	60.5	59.8
6	HatevDavFou	85.8	73.7	86.1	74.0	86.1	74.1	86.2	73.7	85.9	73.6	85.8	72.8	86.2	74.0	86.2	73.6	86.2	73.6	86.0	73.3	85.7	73.7	85.9	73.5	85.8	73.7	86.0	73.3	86.0	73.5	86.0	73.4
7	HatevDavFouWas	85.9	75.0	86.3	75.2	86.2	75.4	86.3	74.9	86.1	74.9	85.9	74.1	86.3	75.3	86.3	74.8	86.3	75.0	86.1	74.6	85.9	75.0	86.0	74.8	85.9	75.0	86.1	74.6	86.1	74.9	86.1	74.7
