	test_sets	M0.2_acc	M0.2_f1	M1.2_acc	M1.2_f1	M1.2.1_acc	M1.2.1_f1	M1.2.4_acc	M1.2.4_f1	M1.2.9_acc	M1.2.9_f1	M1.2.19_acc	M1.2.19_f1	M2.2_acc	M2.2_f1	M2.2.1_acc	M2.2.1_f1	M2.2.4_acc	M2.2.4_f1	M2.2.9_acc	M2.2.9_f1	M2.2.19_acc	M2.2.19_f1	M3.2_acc	M3.2_f1	M3.2.1_acc	M3.2.1_f1	M3.2.4_acc	M3.2.4_f1	M3.2.9_acc	M3.2.9_f1	M3.2.19_acc	M3.2.19_f1
0	Hateval	67.3	67.1	66.5	66.4	65.7	65.6	66.1	66.0	66.7	66.5	67.1	66.8	66.7	66.4	66.4	66.3	66.6	66.4	67.4	67.2	67.3	67.1	65.6	65.4	67.3	67.0	66.6	66.4	67.3	67.1	67.1	66.9
1	Davidson	50.6	40.7	47.6	38.9	46.3	38.1	48.9	39.7	49.5	40.1	50.2	40.4	52.0	41.3	48.0	39.1	49.3	39.9	49.8	40.1	50.7	40.6	44.9	37.0	50.2	40.2	48.2	39.1	52.8	41.8	49.3	39.8
2	Founta	87.1	57.3	87.7	57.3	87.0	57.1	87.3	57.5	88.1	57.9	88.4	58.5	88.8	57.7	87.8	57.2	87.6	57.6	88.0	58.3	88.3	57.9	87.0	57.2	88.8	58.2	87.6	57.1	88.7	58.2	88.1	58.0
3	Vidgen_v0.2.3	78.4	78.2	77.8	77.6	77.9	77.6	78.1	78.0	78.6	78.4	78.4	78.2	77.6	77.5	78.3	78.2	78.0	77.8	78.3	78.2	78.2	78.0	77.0	76.8	77.4	77.3	78.3	78.2	78.1	78.0	78.3	78.2
4	Waseem	70.2	59.3	70.5	58.1	71.1	59.9	70.3	58.8	70.6	58.7	70.7	58.8	71.3	57.4	71.1	58.3	71.0	58.8	70.6	58.7	70.6	58.7	70.9	59.4	72.2	59.9	70.5	59.2	71.6	59.6	71.4	59.9
5	Hatecheck	90.1	88.4	89.8	88.1	90.5	88.8	89.8	88.1	90.3	88.7	89.8	88.1	89.0	87.2	89.5	87.8	89.7	87.9	90.2	88.5	90.0	88.3	89.6	87.7	89.7	87.9	90.2	88.5	89.4	87.7	90.4	88.7
6	HatevDavFou	75.8	63.4	75.5	63.3	74.6	62.7	75.4	63.1	76.1	63.7	76.4	63.8	77.0	64.0	75.5	63.2	75.7	63.4	76.2	63.8	76.5	63.8	74.3	62.5	76.7	64.1	75.5	63.0	77.2	64.3	76.1	63.5
7	HatevDavFouWas	75.4	63.1	75.1	62.9	74.3	62.5	75.0	62.8	75.7	63.3	76.0	63.4	76.5	63.4	75.2	62.8	75.4	63.1	75.8	63.4	76.1	63.4	74.0	62.2	76.4	63.7	75.1	62.7	76.7	63.9	75.8	63.2
