	test_sets	M0.2_acc	M0.2_f1	M1.2_acc	M1.2_f1	M1.2.1_acc	M1.2.1_f1	M1.2.4_acc	M1.2.4_f1	M1.2.9_acc	M1.2.9_f1	M1.2.19_acc	M1.2.19_f1	M2.2_acc	M2.2_f1	M2.2.1_acc	M2.2.1_f1	M2.2.4_acc	M2.2.4_f1	M2.2.9_acc	M2.2.9_f1	M2.2.19_acc	M2.2.19_f1	M3.2_acc	M3.2_f1	M3.2.1_acc	M3.2.1_f1	M3.2.4_acc	M3.2.4_f1	M3.2.9_acc	M3.2.9_f1	M3.2.19_acc	M3.2.19_f1
0	Hateval	60.3	49.4	60.3	48.6	60.1	50.8	60.2	49.8	60.3	50.5	60.7	51.9	60.2	49.7	60.6	51.0	60.8	52.1	61.0	53.4	60.8	52.5	60.1	49.6	60.5	51.5	60.5	51.7	60.8	52.9	60.9	51.5
1	Davidson	87.4	57.3	86.6	57.0	85.5	57.3	85.9	56.2	86.2	57.4	87.0	58.0	86.2	57.1	85.9	59.0	85.7	57.3	86.2	58.0	85.8	57.4	85.7	57.3	85.2	57.0	85.4	57.2	86.0	57.5	86.1	57.4
2	Founta	94.5	66.6	95.0	67.7	94.7	68.3	94.8	67.5	94.6	68.0	94.6	67.9	94.9	68.2	94.6	68.3	94.6	68.9	94.7	68.7	94.6	68.4	94.8	68.4	94.6	68.2	94.8	68.9	94.5	68.4	94.8	68.8
3	Vidgen_v0.2.3	53.8	51.8	53.0	50.0	53.1	50.4	53.2	50.8	54.3	52.3	54.8	53.3	53.4	51.2	54.5	52.8	54.1	52.1	54.5	53.1	54.4	52.7	53.8	51.3	55.5	54.1	54.1	52.2	54.5	53.0	53.1	50.9
4	Waseem	72.7	49.9	72.0	46.7	72.0	47.5	71.8	45.9	72.2	48.5	71.7	46.4	71.8	46.3	71.8	46.9	72.1	47.6	72.1	47.7	72.3	48.7	72.3	48.2	71.7	47.1	72.5	49.1	72.7	50.0	71.8	46.5
5	Hatecheck	53.0	52.2	50.1	49.3	49.9	49.4	50.7	50.4	54.5	53.5	55.3	54.4	50.2	49.9	51.6	50.9	51.7	51.1	54.2	53.4	53.4	52.7	50.4	49.4	53.9	53.0	51.2	50.7	54.1	53.0	52.4	51.9
6	HatevDavFou	85.4	59.9	85.6	59.5	85.2	61.2	85.4	60.1	85.3	60.9	85.5	61.9	85.4	60.4	85.3	61.5	85.3	62.2	85.5	63.0	85.3	62.3	85.3	60.5	85.1	61.5	85.3	61.9	85.3	62.6	85.5	61.7
7	HatevDavFouWas	84.5	58.9	84.5	58.3	84.2	59.9	84.3	58.7	84.3	59.7	84.5	60.4	84.4	59.0	84.3	60.1	84.3	60.8	84.5	61.6	84.3	61.0	84.3	59.3	84.1	60.1	84.3	60.7	84.3	61.4	84.5	60.3
