	test_sets	M0.2_acc	M0.2_f1	M1.2_acc	M1.2_f1	M1.2.1_acc	M1.2.1_f1	M1.2.4_acc	M1.2.4_f1	M1.2.9_acc	M1.2.9_f1	M1.2.19_acc	M1.2.19_f1	M2.2_acc	M2.2_f1	M2.2.1_acc	M2.2.1_f1	M2.2.4_acc	M2.2.4_f1	M2.2.9_acc	M2.2.9_f1	M2.2.19_acc	M2.2.19_f1	M3.2_acc	M3.2_f1	M3.2.1_acc	M3.2.1_f1	M3.2.4_acc	M3.2.4_f1	M3.2.9_acc	M3.2.9_f1	M3.2.19_acc	M3.2.19_f1
0	Hateval	59.9	45.8	59.6	44.9	59.6	46.0	59.9	45.4	59.3	44.4	59.3	43.2	58.8	40.8	59.8	45.3	60.0	46.6	59.9	46.6	60.3	48.0	60.0	44.7	60.4	46.2	59.5	43.3	59.2	42.7	59.5	44.3
1	Davidson	93.3	69.7	93.7	70.4	92.9	69.7	93.3	69.8	93.6	69.9	93.8	71.1	93.6	71.0	93.4	70.2	93.3	71.1	93.5	70.0	93.6	70.5	93.5	69.8	93.1	70.8	93.3	69.4	93.8	70.3	93.3	69.3
2	Founta	93.9	55.2	94.4	53.5	94.1	55.0	94.2	55.5	94.4	54.1	94.6	53.2	94.6	51.8	94.4	53.8	94.2	55.5	94.4	54.3	94.2	55.2	94.4	53.9	94.1	55.3	94.4	53.9	94.5	53.0	94.4	53.8
3	Vidgen_v0.2.3	54.4	52.4	53.0	49.1	54.2	52.0	55.5	53.6	53.5	50.0	52.9	48.8	52.5	47.8	54.1	51.0	56.0	54.2	53.8	50.5	55.5	53.5	54.7	51.6	54.8	52.2	54.2	51.0	52.8	48.8	53.2	49.8
4	Waseem	71.4	44.2	71.2	43.4	71.4	44.4	71.3	43.9	71.4	43.7	71.4	43.5	71.3	43.6	71.4	44.0	71.6	44.6	71.5	44.2	71.5	44.3	71.4	43.3	71.4	44.0	71.4	43.3	71.3	43.1	71.2	43.3
5	Hatecheck	54.6	53.0	48.0	46.8	52.7	51.6	55.2	53.8	50.3	48.6	49.0	47.9	44.4	43.4	50.5	49.3	54.2	53.4	50.2	47.9	54.2	53.3	50.5	48.9	50.4	49.3	50.8	49.5	47.4	46.5	49.0	48.6
6	HatevDavFou	86.1	56.3	86.4	55.7	86.1	56.7	86.3	56.2	86.3	55.4	86.5	54.6	86.3	52.8	86.4	55.9	86.3	57.2	86.4	56.9	86.5	58.0	86.5	55.4	86.3	56.8	86.3	54.5	86.4	54.0	86.4	55.2
7	HatevDavFouWas	85.0	55.1	85.3	54.4	85.0	55.4	85.2	55.0	85.2	54.2	85.3	53.4	85.2	51.9	85.3	54.7	85.2	55.9	85.3	55.6	85.3	56.6	85.3	54.1	85.2	55.5	85.2	53.3	85.2	52.9	85.2	53.9
