	test_sets	M0.2_acc	M0.2_f1	M1.2_acc	M1.2_f1	M1.2.1_acc	M1.2.1_f1	M1.2.4_acc	M1.2.4_f1	M1.2.9_acc	M1.2.9_f1	M1.2.19_acc	M1.2.19_f1	M2.2_acc	M2.2_f1	M2.2.1_acc	M2.2.1_f1	M2.2.4_acc	M2.2.4_f1	M2.2.9_acc	M2.2.9_f1	M2.2.19_acc	M2.2.19_f1	M3.2_acc	M3.2_f1	M3.2.1_acc	M3.2.1_f1	M3.2.4_acc	M3.2.4_f1	M3.2.9_acc	M3.2.9_f1	M3.2.19_acc	M3.2.19_f1
0	Hateval	54.4	51.1	52.3	48.0	53.7	50.0	53.3	49.5	52.9	49.0	52.4	48.1	51.1	46.3	54.0	50.5	53.0	49.0	53.6	49.8	53.6	50.1	52.7	48.5	54.1	50.8	51.7	47.3	52.2	47.8	53.3	49.6
1	Davidson	49.4	35.8	47.0	34.7	48.8	35.4	45.1	33.7	45.9	34.2	44.4	33.2	43.0	32.9	45.2	34.0	48.1	35.2	45.8	34.1	48.5	35.4	46.2	34.3	46.2	34.5	44.5	33.3	45.1	33.9	45.2	33.9
2	Founta	90.4	55.4	90.9	55.2	91.0	55.0	90.3	55.2	90.1	55.5	90.2	55.5	89.8	55.3	89.7	56.0	91.1	54.9	89.9	55.7	90.3	55.3	90.6	55.3	89.7	55.7	90.3	54.5	90.3	55.0	89.8	55.5
3	Vidgen_v0.2.3	54.4	52.5	53.2	49.7	54.6	52.1	54.6	52.1	54.8	52.8	54.0	51.8	55.3	53.5	56.0	54.5	53.9	51.0	55.5	53.9	54.3	52.1	54.9	52.7	55.4	53.4	53.3	50.3	54.5	52.2	54.7	52.6
4	Waseem	77.0	64.6	75.9	60.6	75.9	61.0	76.1	62.3	76.7	64.4	76.9	64.5	77.3	65.1	75.9	62.1	75.6	60.4	77.1	65.1	76.4	62.9	76.3	62.3	75.5	61.3	76.1	62.1	76.9	64.1	77.4	64.9
5	Hatecheck	54.1	53.9	49.8	48.9	51.7	51.6	53.3	52.6	53.7	53.4	51.8	51.5	54.9	54.5	57.2	57.0	50.7	50.4	54.3	54.2	53.7	53.3	53.1	52.9	55.6	55.3	49.8	49.3	53.2	52.9	54.8	54.2
6	HatevDavFou	74.6	63.8	74.0	63.2	74.7	63.7	73.5	62.9	73.4	62.8	73.1	62.6	72.3	62.0	73.3	62.8	74.5	63.5	73.5	63.0	74.2	63.4	73.7	63.1	73.6	63.0	73.0	62.3	73.3	62.7	73.3	62.7
7	HatevDavFouWas	74.8	63.8	74.2	63.1	74.8	63.5	73.7	62.9	73.7	62.9	73.4	62.7	72.7	62.2	73.5	62.8	74.6	63.3	73.8	63.1	74.4	63.3	73.9	63.0	73.7	62.9	73.2	62.3	73.5	62.8	73.6	62.9
