	test_sets	M0.2_acc	M0.2_f1	M1.2_acc	M1.2_f1	M1.2.1_acc	M1.2.1_f1	M1.2.4_acc	M1.2.4_f1	M1.2.9_acc	M1.2.9_f1	M1.2.19_acc	M1.2.19_f1	M2.2_acc	M2.2_f1	M2.2.1_acc	M2.2.1_f1	M2.2.4_acc	M2.2.4_f1	M2.2.9_acc	M2.2.9_f1	M2.2.19_acc	M2.2.19_f1	M3.2_acc	M3.2_f1	M3.2.1_acc	M3.2.1_f1	M3.2.4_acc	M3.2.4_f1	M3.2.9_acc	M3.2.9_f1	M3.2.19_acc	M3.2.19_f1
0	Hateval	58.4	56.2	56.5	55.0	56.1	54.6	56.9	55.7	57.9	56.2	57.0	55.6	56.4	55.1	57.1	55.4	57.4	55.8	57.6	56.2	57.1	55.4	58.4	56.0	58.0	56.0	57.9	55.8	57.7	55.9	58.9	56.3
1	Davidson	50.8	37.2	45.5	34.7	44.1	34.6	43.6	34.3	47.3	35.8	44.6	34.5	45.4	34.9	47.2	36.2	44.7	34.4	46.2	34.8	46.3	35.0	51.3	37.7	50.0	37.0	49.6	36.7	48.4	35.9	52.1	37.4
2	Founta	90.1	54.5	89.9	54.7	88.7	55.2	88.6	55.0	89.2	54.4	88.5	54.8	89.5	55.1	89.4	54.6	89.5	54.8	89.7	54.9	89.0	54.2	90.6	54.7	90.6	54.9	90.9	54.1	90.1	54.3	91.2	54.6
3	Vidgen_v0.2.3	46.9	37.7	47.1	37.4	47.8	39.3	48.0	40.0	47.7	39.1	47.6	39.6	47.1	38.0	46.9	37.7	47.2	37.9	47.8	39.4	47.8	40.0	46.8	37.5	46.7	36.7	46.5	35.8	46.6	36.5	46.2	35.1
4	Waseem	88.1	84.5	87.9	84.5	88.6	85.5	88.7	85.7	88.3	84.9	88.5	85.4	88.5	85.5	88.4	85.2	88.3	84.9	88.3	84.9	88.3	85.0	88.6	85.0	88.8	85.3	88.4	84.7	88.4	84.8	88.0	84.2
5	Hatecheck	34.1	29.3	33.2	28.1	34.7	30.5	34.4	30.2	33.4	28.5	34.5	30.1	33.1	28.2	33.6	28.8	34.1	29.2	33.5	28.7	35.7	31.7	35.0	30.8	33.5	28.4	32.2	25.9	32.5	26.6	31.9	25.4
6	HatevDavFou	75.6	57.2	74.1	56.7	73.0	56.3	73.1	56.7	74.3	56.9	73.2	56.5	73.8	56.9	74.2	56.8	73.9	56.7	74.3	57.1	73.9	56.5	76.0	57.3	75.7	57.4	75.7	57.1	75.0	57.0	76.6	57.3
7	HatevDavFouWas	76.6	60.1	75.1	59.5	74.2	59.2	74.3	59.6	75.4	59.8	74.4	59.4	74.9	59.8	75.3	59.7	75.0	59.5	75.4	59.9	74.9	59.4	77.0	60.2	76.7	60.3	76.7	60.0	76.0	59.8	77.5	60.2
